variable,unit,reference,source,definition
has_enterprise,HH × year,past year,sec 10 presence,1 if HH ran any non-ag enterprise this year; 0 otherwise.
n_enterprises,HH × year,past year,count sec 10 rows,Number of non-ag enterprises operated by HH.
n_workers_total,HH × year,past year,sum s10q03,Total workers across all HH enterprises (includes unpaid family).
revenue_12m,HH × year,12 months,sum s10q04,"Total gross revenue (Rs.) across all HH enterprises, past 12 months."
expenses_12m,HH × year,12 months,sum s10q05..08,Total operating expenses = wages + fuel/utilities + raw materials + other operations.
profit_12m,HH × year,12 months,revenue − expenses,Operating profit. Capex (s10q09) NOT subtracted.
capex_12m,HH × year,12 months,sum s10q09,Capital expenditure: cash or in-kind value spent on assets for the business.
asset_sales_12m,HH × year,12 months,sum s10q10,Value received from selling business assets.
n_partial_owned,HH × year,past year,count s10q02a=Partial,Count of enterprises with partial ownership (vs full). Missing in 2017.
sector_manufacturing,HH × year,past year,s10q02 == 4,1 if HH operated any manufacturing enterprise.
sector_trade,HH × year,past year,s10q02 == 7,1 if HH operated any wholesale/retail enterprise.
sector_hotels,HH × year,past year,s10q02 == 8,1 if HH operated any hotel/restaurant enterprise.
sector_transport,HH × year,past year,s10q02 == 9,1 if HH operated any transport/storage/communications enterprise.
sector_services,HH × year,past year,"s10q02 ∈ {13,14,15}","1 if HH operated any education, health, or community/social service."
sector_other,HH × year,past year,s10q02 other,"1 if HH operated any enterprise in sectors 1,2,3,5,6,10,11,12,16,17,18."
